NET_PRICE,CONTROL,UGDS,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN_SUPP,RPY_3YR_RT_SUPP,SATVRMID,SATMTMID,MD_EARN_WNE_P10,INSTNM
12872.0,1,4616.0,0.3171,0.3844,21500.0,0.5781413887,520.0,500.0,50741.0,Eastern Illinois University
23036.0,2,2791.0,0.3668,0.5758,20489.0,0.7127371274,562.0,555.0,58657.0,Elmhurst University
19903.0,2,468.0,0.454,0.638,23250.0,0.6723404255,513.0,500.0,44812.0,Eureka College
9419.0,1,2698.0,0.5051,0.4489,18618.0,0.452173913,480.0,465.0,52665.0,Governors State University
21222.0,2,828.0,0.4143,0.6574,23875.0,0.6212471132,525.0,510.0,44195.0,Greenville University
11329.0,1,22011.0,0.486,0.2922,16704.0,0.6881439336,595.0,600.0,64108.0,University of Illinois Chicago
24121.0,2,2174.0,0.3876,0.5476,22500.0,0.5692307692,575.0,590.0,61453.0,Benedictine University
15483.0,1,33889.0,0.2526,0.3183,19500.0,0.7884637885,685.0,730.0,77368.0,University of Illinois Urbana-Champaign
27611.0,2,1646.0,0.2372,0.6644,27000.0,0.843615495,625.0,585.0,66591.0,Illinois Wesleyan University
16349.0,2,1088.0,0.4073,0.74,25565.0,0.7692307692,535.0,515.0,51953.0,Illinois College
22166.0,2,2889.0,0.296,0.4052,25000.0,0.802978236,640.0,680.0,82793.0,Illinois Institute of Technology
20579.0,1,17632.0,0.2989,0.4982,20482.0,0.7400207361,560.0,540.0,58781.0,Illinois State University
20824.0,2,923.0,0.413,0.6331,25000.0,0.6605783866,515.0,510.0,51562.0,Judson University
23285.0,2,1140.0,0.318,0.5997,27000.0,0.7599206349,645.0,620.0,51471.0,Knox College
23642.0,2,1657.0,0.3564,0.5,26158.0,0.7724358974,618.0,620.0,66559.0,Lake Forest College
17323.0,2,3799.0,0.3149,0.5005,21500.0,0.6590709904,565.0,580.0,61393.0,Lewis University
17541.0,2,795.0,0.5646,0.7932,20812.0,0.3161016949,395.0,360.0,34028.0,Lincoln College
27330.0,2,11739.0,0.2282,0.4812,24157.0,0.7538461538,640.0,620.0,66791.0,Loyola University Chicago
28547.0,2,514.0,0.4758,0.8995,31250.0,0.6078947368,505.0,475.0,66066.0,Methodist College
19230.0,2,1719.0,0.3424,0.647,27000.0,0.6422310757,545.0,530.0,46513.0,Millikin University
17467.0,2,750.0,0.299,0.7045,27000.0,0.6605263158,590.0,600.0,49661.0,Monmouth College
25605.0,2,2384.0,0.2525,0.6105,24500.0,0.7455325232,570.0,560.0,57787.0,North Central College
18956.0,2,1834.0,0.4561,0.6544,25500.0,0.6416732439,516.0,510.0,55242.0,North Park University
28230.0,2,8691.0,0.1869,0.1907,15000.0,0.8701616854,745.0,775.0,85796.0,Northwestern University
20023.0,2,2599.0,0.3498,0.7177,25000.0,0.6662584201,550.0,535.0,50851.0,Olivet Nazarene University
16178.0,2,966.0,0.293,0.5293,24000.0,0.6025641026,570.0,580.0,47879.0,Quincy University
23040.0,2,956.0,0.4328,0.634,22274.0,0.5788770053,505.0,495.0,52541.0,Rockford University
24251.0,2,2585.0,0.4729,0.5629,22000.0,0.45645103,505.0,485.0,45701.0,Roosevelt University
17840.0,2,2034.0,0.4792,0.6343,24411.0,0.6351219512,520.0,515.0,56955.0,Dominican University
16578.0,2,1519.0,0.3866,0.6122,21079.0,0.652688172,525.0,520.0,60919.0,University of St Francis
12065.0,1,2441.0,0.3497,0.4167,19128.0,0.5764139591,575.0,545.0,52925.0,University of Illinois Springfield
16316.0,1,7973.0,0.3455,0.467,21543.0,0.5050697085,535.0,510.0,50562.0,Southern Illinois University-Carbondale
14331.0,1,9903.0,0.3166,0.4291,20500.0,0.5838428757,530.0,510.0,54293.0,Southern Illinois University-Edwardsville
14555.0,2,832.0,0.332,0.7557,25009.0,0.6824858757,550.0,535.0,52079.0,Trinity Christian College
19979.0,2,476.0,0.3497,0.6678,26082.0,0.5627198124,535.0,515.0,44008.0,Trinity International University-Illinois
25287.0,2,2301.0,0.2181,0.4318,23250.0,0.8789473684,660.0,680.0,60007.0,Wheaton College
22009.0,2,1137.0,0.3593,0.7021,27000.0,0.6376221498,530.0,530.0,45222.0,Anderson University
15464.0,1,13896.0,0.3395,0.7729,23250.0,0.6458934663,560.0,550.0,49177.0,Ball State University
36631.0,2,4388.0,0.1407,0.4281,26000.0,0.8453683443,625.0,620.0,72865.0,Butler University
22469.0,2,1708.0,0.1821,0.3379,27000.0,0.8177496038,630.0,660.0,66577.0,DePauw University
22195.0,2,653.0,0.3057,0.4823,23488.0,0.7838541667,615.0,605.0,45931.0,Earlham College
20340.0,2,1554.0,0.2126,0.4302,24606.0,0.7607305936,575.0,575.0,51987.0,University of Evansville
21185.0,2,880.0,0.3817,0.7132,27000.0,0.7106690778,535.0,535.0,52038.0,Franklin College
16407.0,2,725.0,0.3349,0.5659,22974.0,0.8198614319,565.0,565.0,48025.0,Goshen College
18393.0,2,1426.0,0.3048,0.5277,19500.0,0.7978227061,560.0,545.0,45507.0,Grace College and Theological Seminary
19722.0,2,1000.0,0.292,0.5341,25250.0,0.7119815668,615.0,595.0,51346.0,Hanover College
23745.0,2,445.0,0.2923,0.6396,24000.0,0.5884476534,615.0,600.0,48030.0,Holy Cross College
18851.0,2,1002.0,0.3243,0.5496,25576.0,0.7635726795,564.0,545.0,40979.0,Huntington University
10455.0,1,5708.0,0.2956,0.3289,21500.0,0.5301828775,555.0,550.0,44374.0,Purdue University Fort Wayne
10947.0,1,18707.0,0.3466,0.3536,20000.0,0.5456813489,570.0,565.0,50477.0,Indiana University-Purdue University-Indianapolis
14611.0,1,6031.0,0.2399,0.3369,20105.0,0.5920627596,565.0,560.0,44224.0,University of Southern Indiana
4757.0,1,2612.0,0.3574,0.3428,16961.0,0.5009721322,550.0,540.0,43073.0,Indiana University-Kokomo
